agent_steals,E_0_says_stolen,E_1_says_stolen,E_2_says_stolen,E_3_says_stolen
0,1,0,1,0
1,0,1,1,1
1,0,1,1,0
1,1,1,1,0
0,1,0,0,0
1,0,1,1,0
0,0,0,0,1
0,1,1,0,1
1,0,1,1,0
1,0,0,1,0
0,1,0,0,1
0,1,1,1,1
1,0,1,1,0
0,1,0,0,1
0,1,0,0,1
1,0,0,1,0
1,0,1,1,1
1,0,0,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,0,0,0
1,0,1,1,1
0,1,0,1,1
1,0,0,1,0
1,0,1,0,0
1,0,1,1,0
1,0,1,1,0
0,1,0,0,1
1,0,1,0,0
1,1,1,1,0
1,0,1,1,0
0,1,1,0,1
0,0,0,0,1
0,0,0,0,1
0,1,0,0,1
1,0,1,1,0
1,0,1,0,0
0,1,0,0,0
0,1,1,0,1
0,0,0,0,1
0,1,0,0,1
0,0,0,0,1
0,0,0,1,1
0,1,0,0,1
1,0,1,1,0
1,0,1,1,1
1,0,1,1,0
0,1,0,0,0
0,1,0,0,0
0,0,0,0,0
1,0,0,1,0
1,0,1,1,0
1,0,1,1,0
1,1,1,0,0
1,0,1,1,0
1,0,1,1,0
0,1,1,0,0
0,1,0,0,0
0,0,0,1,0
1,1,1,1,0
1,0,0,0,1
1,0,1,0,0
1,0,1,0,0
1,0,1,1,0
0,1,0,0,1
1,1,0,0,0
1,0,1,1,1
0,0,0,1,0
0,1,0,0,1
0,1,0,0,1
1,0,1,1,0
0,1,0,0,1
0,0,0,0,0
0,1,0,1,1
1,0,1,0,0
1,0,0,1,0
0,1,0,0,1
0,1,0,1,1
1,0,1,1,0
1,0,1,1,0
1,1,0,1,0
0,0,0,0,1
1,0,1,1,0
0,1,0,0,1
1,0,1,1,0
1,0,1,0,1
0,1,0,0,0
0,1,0,1,1
1,1,1,1,0
1,0,1,1,0
1,0,1,0,0
1,1,1,1,1
0,1,0,0,1
1,0,1,1,0
1,0,1,1,0
1,0,1,0,0
1,0,0,0,0
0,0,0,0,0
