Network,Evidence,s1,s2,s3,n,incompatible
fullVlek,"(0, 0, 0, 0)",0.0,5.935147148213787e-05,0.9999406485285178,0.0,0
fullVlek,"(0, 0, 0, 1)",0.009573976546289472,0.9889516774677499,0.001474345985960596,0.0,0
fullVlek,"(0, 0, 1, 0)",0,0,0,0,1
fullVlek,"(0, 0, 1, 1)",0,0,0,0,1
fullVlek,"(0, 1, 0, 0)",0.0,3.195938650255117e-05,0.9999680406134975,0.0,0
fullVlek,"(0, 1, 0, 1)",0.0051821447751569565,0.994019830045757,0.000798025179086158,0.0,0
fullVlek,"(0, 1, 1, 0)",0.0,1.0,0.0,0.0,0
fullVlek,"(0, 1, 1, 1)",0.850542424641943,0.01847816428502248,0.13097941107303465,0.0,0
fullVlek,"(1, 0, 0, 0)",0.0,4.946570642779734e-06,0.9999950534293571,0.0,0
fullVlek,"(1, 0, 0, 1)",0.9510847760209452,0.04890914616716478,6.077811889954604e-06,0.0,0
fullVlek,"(1, 0, 1, 0)",0,0,0,0,1
fullVlek,"(1, 0, 1, 1)",0,0,0,0,1
fullVlek,"(1, 1, 0, 0)",0.0,2.6635463193265375e-06,0.9999973364536806,0.0,0
fullVlek,"(1, 1, 0, 1)",0.9128182349649354,0.08717593176166796,5.8332733965611095e-06,0.0,0
fullVlek,"(1, 1, 1, 0)",0.0,1.0,0.0,0.0,0
fullVlek,"(1, 1, 1, 1)",0.999992708115909,9.0153096527682e-07,6.390353125703832e-06,0.0,0
fD,"(0, 0, 0, 0)",0.0,0.0,1.0,0.0,0
fD,"(0, 0, 0, 1)",0.0003059666361886617,0.9996940333638114,0.0,0.0,0
fD,"(0, 0, 1, 0)",0,0,0,0,1
fD,"(0, 0, 1, 1)",0,0,0,0,1
fD,"(0, 1, 0, 0)",0.0,0.0,1.0,0.0,0
fD,"(0, 1, 0, 1)",0.00015300672557089944,0.9998469932744292,0.0,0.0,0
fD,"(0, 1, 1, 0)",0,0,0,0,1
fD,"(0, 1, 1, 1)",1.0,0.0,0.0,0.0,0
fD,"(1, 0, 0, 0)",0.0,0.0,1.0,0.0,0
fD,"(1, 0, 0, 1)",0.7518796957135627,0.24812030428643728,0.0,0.0,0
fD,"(1, 0, 1, 0)",0,0,0,0,1
fD,"(1, 0, 1, 1)",0,0,0,0,1
fD,"(1, 1, 0, 0)",0.0,0.0,1.0,0.0,0
fD,"(1, 1, 0, 1)",0.6024096340163457,0.39759036598365427,0.0,0.0,0
fD,"(1, 1, 1, 0)",0,0,0,0,1
fD,"(1, 1, 1, 1)",1.0,0.0,0.0,0.0,0
